Parameter,68_upb,68_upb_upe,68_upb_loe,90_upb,90_upb_upe,90_upb_loe,99_upb,99_upb_upe,99_upb_loe,999_upb,999_upb_upe,999_upb_loe
c00,-1080.1626618398138,0.0,0.0,-1111.3756686637512,0.0,0.0,3193.430568922058,0.0,0.0,1644.5877705922949,0.0,0.0
c01,94.63058405504785,0.0,0.0,379.8844074625544,0.0,0.0,-229.47815418023532,0.0,0.0,-93.65492078335426,0.0,0.0
c02,-2.8814241757704813,0.0,0.0,-11.530686975275202,0.0,0.0,-22.368047330902378,0.0,0.0,1.9933976378473652,0.0,0.0
c03,0.89306888628838,0.0,0.0,-3.202699590876178,0.31856391429712083,0.32174921895305664,-3.032842438225307,0.1889318167788656,0.1881302010904653,0.8195368780518505,0.18907504107553474,0.19118402518174338
c04,-0.1605085012951428,0.018685265164278736,0.01912569746760423,-0.3337649555634904,0.014592533519054096,0.01472601717451033,-0.2898051841373146,0.019431485435129292,0.019292239074338968,0.0008332252784213484,0.024816226330709956,0.024866706706920958
c05,0.07577375912508647,0.003889459619503516,0.003916326562134975,-0.03823386941828938,0.0036435083045717118,0.0037584981819016247,0.0031961359930164747,0.0018529311086738958,0.001801352479038859,0.0012211216793211843,0.0018980410530437838,0.0018560970542289184
c10,727.9735261462258,0.0,0.0,717.1517752998029,0.0,0.0,-1991.7516643339504,0.0,0.0,-1029.666772404184,0.0,0.0
c11,-40.71318726558431,0.0,0.0,-188.50198548167072,0.0,0.0,116.86191744245626,0.0,0.0,43.66163810017514,0.0,0.0
c12,1.8696184000506069,0.0,0.0,5.015827978380293,0.0,0.0,8.583506195657584,0.0,0.0,-0.9962203521613784,0.0,0.0
c13,-0.19725143531706396,0.0,0.0,0.930260363749151,0.08060395178410185,0.07993170975886454,0.7172718626221648,0.046335089234259,0.04695298566476824,-0.2400055559900075,0.048780090695078104,0.04794715894879703
c14,0.014049156656959362,0.0027880896936660106,0.002724323564559157,0.03673757393644151,0.002161058607000256,0.002185000946149429,0.034378730071207474,0.002356663281903537,0.0023434310281168907,-0.0006739218751876535,0.0031211989589068354,0.003134184935108853
c20,-191.88369317216583,0.0,0.0,-180.13956973985705,0.0,0.0,501.5283290925122,0.0,0.0,262.62083701080525,0.0,0.0
c21,6.233443849331645,0.0,0.0,35.11514817583668,0.0,0.0,-22.01002633762495,0.0,0.0,-7.54450022626158,0.0,0.0
c22,-0.33657112720165056,0.0,0.0,-0.6924375256871084,0.0,0.0,-1.059857534990611,0.001689164543256183,0.0016539381194664582,0.1649359601442583,0.0017950281978183769,0.0017916838985603811
c23,0.006374822205395755,0.00029908984421539875,0.0003014960931917651,-0.0607732638043552,0.00504050934486476,0.0050476392525204555,-0.04175615629498625,0.0028897166653835335,0.0028550000715320545,0.017111278508669874,0.003109524194159094,0.0031512642866613275
c30,25.5501030478771,0.0,0.0,22.76854256733634,0.0,0.0,-62.969528856888,0.0,0.0,-33.304757114602964,0.0,0.0
c31,-0.3848494240694062,0.0,0.0,-2.9099147014450053,0.0,0.0,1.8241851570723022,0.0,0.0,0.5798732835985608,0.000452824571729904,0.0004410215864352196
c32,0.018368023680007055,4.20100658034446e-05,4.146628676585454e-05,0.030631896226153043,4.016479249356608e-05,3.883294463855741e-05,0.04228027008999921,0.0001918599223790507,0.0001948193335385498,-0.008683219627992582,0.00021315153525351856,0.00021270666029477546
c40,-1.711073052145746,0.0,0.0,-1.4439273773296006,0.0,0.0,3.9454828954652266,0.0,0.0,2.1026682818815448,0.0,0.0
c41,0.0074564131359146375,0.0,0.0,0.09059887522701286,6.313346437969436e-06,6.220104729212639e-06,-0.05619111954418216,4.833017300066855e-06,4.8506560296479595e-06,-0.0168523869671091,5.2289317807138747e-05,5.3702535024836157e-05
c50,0.045904428787476234,0.0,0.0,0.03663878955438497,0.0,0.0,-0.09877671841087979,1.2127846484993876e-06,1.236691788877864e-06,-0.052934205606041354,1.222878596274235e-06,1.219458626994241e-06
