PGC,SFR,Metal
9279,0.2636274126029046,8.502527
10966,0.12718585257726922,8.370684
12607,0.34262304637411845,8.53299
13317,0.8697358275121111,8.622491
14448,1.3990478976684737,8.747322
14475,0.005235133679998012,8.135873
15051,0.876707425152388,8.581612
15533,1.2349178483875587,8.750091
15950,0.17001031045666376,8.590203
16018,0.4095751024274992,8.443906
16988,0.36622726124496013,8.44845
18749,4.974151803927985,8.731905
22894,0.033763932983966655,8.377735
22962,6.079628836792669,8.777894
23218,0.005349972545361074,8.094794
23303,1.8871920964020092,8.768966
24071,0.269986493710564,8.770322
24178,0.8977317143844209,8.649752
24469,0.18184755164535096,8.526526
25231,1.6257550945182278,8.764394
25515,0.0520532826530888,8.474756
27077,2.3761007373959595,8.768386
27622,0.013570915241341009,8.137834
28010,1.0466448520342684,8.43085
28310,1.2369423839406308,8.733736
28805,0.2106204463246904,8.866851
29366,0.1723382712594823,8.344884
31359,0.014678962515200593,8.044124
31435,1.17102990667715,8.730319
31691,0.6897993873537042,8.581728
32424,0.0299385382542041,8.276002
32434,0.8996691030626275,8.49011
32517,6.400677662543697,8.764658
32954,0.011104624471901112,8.062045
35294,0.5527154912769933,8.41456
35942,6.88872038424122,8.709674
36445,1.6740871187021817,8.645889
36658,5.1912991150343775,8.830604
37285,0.10808781365725884,8.3626995
38040,2.4599596142588727,8.717309
38093,2.161758642992211,8.83833
38285,1.9774335887013594,8.753313
39578,3.5530824796783858,8.762717
39904,0.004837864999238212,8.383523
40153,3.4433670795388367,8.778033
41789,1.1409574163883445,8.827352
41850,1.2970115321923994,8.693813
42002,0.2710791417961897,8.613921
42020,0.28347651188015754,8.351274
42089,0.5235272426831565,8.750442
43051,0.0011189146351892262,8.370688
43238,0.08544617082123711,8.681069
44112,0.4083415767417756,8.662154
44186,6.388468250491432,8.661382
44445,15.452495543820573,8.964802
45608,1.2143825039004874,8.656402
48130,0.05975090912058606,8.405494
49511,0.17553239093583828,8.5092535
50083,1.7023339371748818,8.776311
50345,0.7238464721012317,8.673508
50666,0.17981668418491542,8.454857
51849,11.70460887089843,8.8513365
52412,0.48696310428119266,8.724984
88902,1.0529273752774513,8.572483
146315,4.017607155808721,8.74095
170135,2.466665923487589,8.768919
170294,1.2192826385405657,8.719782
1013976,0.030981002731126677,8.538606
1133474,0.013197720501771782,8.447301
2816473,0.3024968946831401,8.552484
3093942,0.8515038417879016,8.588064
3098529,0.6121263558614849,8.620221
3441671,0.23718476940723537,8.1447315
3662384,0.3678288411967097,8.415813
4078746,0.003785819344721703,8.054772
4080350,0.16574677859950956,8.365657
4340445,0.09831102141048137,8.288816
